DateTime;Power_kW
1;365
2;395
3;365
4;395
5;365
6;395
7;365
8;395
9;1079,5
10;1133,5
11;1745
12;1772,7
13;1095,3
14;1124,1
15;1738
16;1768
17;1169,1
18;1172,8
19;1142,8
20;1174
21;1144
22;1175,2
23;1146,3
24;1177,5
25;365
26;395
27;365
28;395
29;365
30;395
31;365
32;395
33;1070,2
34;1123
35;1737,8
36;1768,8
37;1094,7
38;1125,7
39;1739,7
40;1768,8
41;1166,8
42;1170,5
43;1141,6
44;1172,8
45;1144
46;1176,3
47;1146,3
48;1179,8
49;365
50;395
51;365
52;395
53;365
54;395
55;365
56;395
57;290
58;320
59;300
60;330
61;290
62;320
63;300
64;330
65;365
66;395
67;365
68;395
69;365
70;395
71;365
72;395
73;365
74;395
75;390,6
76;395
77;365
78;423
79;397,1
80;427,7
81;326,8
82;356,8
83;342,1
84;373,9
85;355,2
86;389,6
87;369,6
88;405
89;441,7
90;471,7
91;441,7
92;467,3
93;440
94;444,7
95;414
96;438
97;375,3
98;403,6
99;370,2
100;398,4
101;366,7
102;395
103;365
104;395
105;1066,6
106;1124,1
107;1740,3
108;1769,1
109;1097,7
110;1124,1
111;1741,5
112;1775
113;1177,3
114;1181
115;1152,2
116;1185,7
117;1156,9
118;1189,2
119;1160,4
120;1192,7
121;365
122;395
123;365
124;395
125;365
126;395
127;365
128;395
129;1090,1
130;1147,6
131;1762,6
132;1791,4
133;1116,4
134;1144,1
135;1759,1
136;1789,1
137;1190,2
138;1193,9
139;1163,9
140;1195,1
141;1165,1
142;1195,1
143;1165,1
144;1199,8
145;365
146;395
147;365
148;395
149;365
150;395
151;365
152;395
153;1086,6
154;1142,9
155;1755,5
156;1786,7
157;1110,5
158;1140,5
159;1761,4
160;1791,4
161;1192,6
162;1197,4
163;1169,8
164;1203,3
165;1174,5
166;1205,6
167;1176,8
168;1206,8
169;365
170;395
171;365
172;395
173;365
174;395
175;365
176;395
177;1098,3
178;1152,3
179;1764,9
180;1792,6
181;1116,4
182;1145,2
183;1760,2
184;1791,4
185;1192,6
186;1197,4
187;1168,6
188;1198,6
189;1168,6
190;1199,8
191;1167,4
192;1196,3
193;365
194;395
195;365
196;395
197;365
198;395
199;365
200;395
201;1086,6
202;1140,5
203;1753,2
204;1777,3
205;1102,3
206;1131,2
207;1747,3
208;1778,5
209;1179,7
210;1182,2
211;1153,4
212;1184,5
213;1156,9
214;1188
215;1159,2
216;1191,6
217;365
218;395
219;365
220;395
221;365
222;395
223;365
224;395
225;290
226;320
227;300
228;330
229;290
230;320
